sqft_living,bathrooms,bedrooms,floors,price
2190,1.75,4.0,1.0,491500.0
3660,3.25,5.0,2.0,785000.0
1320,3.25,3.0,2.0,385000.0
1630,2.5,2.0,2.0,295000.0
3310,2.5,4.0,2.0,555000.0
2680,2.5,3.0,2.0,459990.0
2730,3.25,4.0,1.0,625000.0
2540,2.5,3.0,2.0,300000.0
2920,2.75,4.0,2.0,625000.0
900,1.0,2.0,1.0,553000.0
1650,2.5,3.0,1.0,379880.0
1010,1.0,3.0,1.0,310000.0
2680,2.5,2.0,1.0,775000.0
2200,2.5,3.0,1.0,365000.0
2530,2.5,4.0,2.0,331950.0
2850,2.5,3.0,2.0,783500.0
2280,2.0,4.0,1.0,628000.0
1900,2.5,3.0,2.0,560000.0
1330,1.0,3.0,1.0,900000.0
1270,3.0,2.0,2.0,531000.0
2170,3.0,4.0,2.0,831000.0
2730,2.5,4.0,2.0,780000.0
2120,2.5,4.0,1.0,755000.0
2490,2.5,3.0,2.0,705380.0
1990,2.25,4.0,1.0,627000.0
3690,3.0,4.0,2.0,865000.0
2540,1.0,2.0,1.0,580000.0
1800,2.25,3.0,1.0,410000.0
2340,3.0,4.0,1.0,485000.0
2110,1.75,2.0,1.0,400000.0
1140,1.0,2.0,1.0,549000.0
1480,1.75,3.0,2.5,620000.0
1410,3.0,2.0,2.0,405000.0
1200,1.0,2.0,1.0,232000.0
3180,2.5,5.0,2.0,800866.0
2160,1.5,3.0,1.0,650000.0
2920,1.75,6.0,2.5,823000.0
2350,2.0,3.0,1.5,770000.0
1560,1.75,3.0,1.0,524000.0
2740,2.75,5.0,1.0,541125.0
1680,2.5,3.0,3.0,670000.0
3090,2.5,5.0,1.0,384900.0
1410,2.25,3.0,3.0,406100.0
3180,2.5,4.0,2.0,736500.0
2010,2.25,3.0,1.0,570000.0
1330,1.75,3.0,1.0,787000.0
2370,2.5,4.0,2.0,328000.0
1840,2.0,5.0,1.0,435000.0
2910,2.5,4.0,2.0,499000.0
2070,1.0,4.0,1.0,501000.0
4340,2.5,4.0,2.5,1090000.0
840,1.0,2.0,1.0,400000.0
1240,1.5,4.0,1.0,220000.0
1390,1.0,4.0,1.0,657100.0
2310,2.75,4.0,2.0,309950.0
1050,2.0,3.0,1.0,300000.0
2550,1.75,5.0,1.0,525888.0
2010,1.75,4.0,1.5,740000.0
1120,1.0,5.0,1.5,340000.0
2230,2.5,3.0,2.0,398750.0
810,1.0,2.0,1.0,206000.0
3190,2.75,5.0,1.0,1030000.0
1670,1.75,3.0,1.0,600000.0
1970,1.75,4.0,1.0,379950.0
1450,1.0,3.0,1.0,287000.0
1880,2.5,3.0,2.0,309950.0
1880,1.75,3.0,1.0,600000.0
1410,2.0,3.0,1.5,418000.0
1480,2.0,4.0,1.5,449250.0
1140,1.0,2.0,1.5,329950.0
1920,1.75,3.0,1.0,245000.0
2910,2.5,4.0,2.0,549000.0
3240,2.5,3.0,2.0,800000.0
1550,2.0,3.0,1.0,249950.0
2050,2.0,5.0,1.0,210000.0
1770,1.0,2.0,1.5,585000.0
2300,1.75,4.0,1.0,615000.0
1800,2.0,3.0,1.0,618500.0
2010,1.75,4.0,1.0,487585.0
1790,2.5,3.0,2.0,509900.0
2440,2.5,4.0,2.0,631625.0
1940,2.5,3.0,2.0,555000.0
1160,1.5,2.0,2.0,340000.0
3400,2.5,4.0,2.0,830000.0
4420,4.25,4.0,2.0,890000.0
1571,3.0,3.0,3.0,366750.0
1620,2.25,3.0,2.5,415000.0
1408,2.5,3.0,3.0,416286.0
3040,2.5,3.0,2.0,478000.0
4490,3.5,5.0,2.0,890000.0
1590,2.5,2.0,2.0,419190.0
2450,2.5,4.0,2.0,712198.0
1440,2.0,4.0,1.0,397000.0
1100,2.0,2.0,1.5,450000.0
1350,1.0,3.0,1.0,353000.0
2150,2.5,4.0,2.0,609000.0
1490,1.75,3.0,1.0,234000.0
2000,2.0,3.0,2.0,561000.0
1030,1.0,2.0,1.0,469000.0
720,1.0,2.0,1.0,329350.0
2020,2.0,5.0,1.5,488000.0
1580,1.75,3.0,1.0,279900.0
2110,2.5,4.0,2.0,606000.0
1300,2.0,4.0,1.0,312000.0
1630,1.5,3.0,1.0,650000.0
3370,2.75,4.0,1.0,1135000.0
1890,2.5,4.0,1.0,325000.0
1520,2.0,4.0,1.0,425000.0
900,1.0,2.0,1.0,219000.0
1050,1.0,3.0,1.0,250000.0
1260,1.75,3.0,1.0,390000.0
3470,3.0,6.0,1.5,475000.0
2290,2.5,4.0,2.0,736000.0
2810,2.25,4.0,1.0,407000.0
1650,2.5,3.0,2.0,272000.0
1640,2.25,3.0,1.0,362000.0
1850,2.5,3.0,2.0,535000.0
2000,2.5,4.0,2.0,284000.0
1410,1.5,3.0,1.0,367500.0
1500,1.75,4.0,1.0,379900.0
2460,2.5,3.0,2.0,520000.0
1010,1.0,3.0,1.0,175000.0
1230,2.25,2.0,2.0,460000.0
2331,2.5,4.0,2.0,345000.0
2240,2.5,5.0,1.0,455000.0
2450,3.0,4.0,1.0,610000.0
3100,3.0,4.0,2.0,563000.0
2060,2.0,4.0,1.0,612500.0
1850,1.75,3.0,1.0,218000.0
1840,1.75,4.0,1.0,404000.0
3740,2.0,4.0,2.0,860000.0
1420,1.5,3.0,1.0,136500.0
1510,1.0,3.0,1.0,313950.0
2130,1.75,3.0,1.0,575000.0
1630,1.75,3.0,1.0,280000.0
1790,2.5,3.0,2.0,515000.0
2000,2.5,4.0,2.0,513000.0
2260,2.25,4.0,2.0,599000.0
3030,2.5,4.0,2.0,685000.0
1310,1.5,3.0,1.0,365000.0
3880,2.5,4.0,2.0,762300.0
3040,2.25,5.0,2.0,562000.0
2910,2.5,5.0,1.0,530000.0
2970,2.5,3.0,1.0,525000.0
1660,1.75,2.0,1.0,484000.0
3200,2.5,4.0,2.0,725126.0
2680,2.0,4.0,1.0,360000.0
1230,1.0,3.0,1.0,387000.0
2740,2.5,4.0,2.0,483500.0
3380,3.5,4.0,2.0,655500.0
1110,1.0,3.0,1.0,345000.0
1800,2.75,5.0,1.5,533000.0
1900,1.75,3.0,1.0,385000.0
930,1.0,2.0,1.0,675000.0
1690,1.75,3.0,1.0,197000.0
1420,2.0,3.0,1.5,485000.0
1980,2.25,3.0,1.0,295000.0
1170,1.75,2.0,1.0,499000.0
2200,2.5,3.0,2.0,1050000.0
800,1.5,3.0,1.0,191000.0
1480,2.5,3.0,3.0,500000.0
2890,3.75,5.0,1.0,390000.0
2690,2.5,3.0,3.0,979000.0
3569,3.25,4.0,2.0,580000.0
1270,2.0,3.0,3.0,369950.0
3040,2.5,4.0,2.0,776000.0
1170,2.25,3.0,3.0,519950.0
2060,2.25,5.0,1.0,255000.0
990,1.0,3.0,1.0,495000.0
2430,2.5,4.0,2.0,510000.0
4460,4.0,4.0,2.0,1150000.0
1250,1.75,3.0,1.0,253000.0
1540,2.75,3.0,1.0,503000.0
1600,2.5,3.0,2.0,275000.0
1110,1.0,3.0,1.0,249000.0
1840,1.75,3.0,1.0,310000.0
2520,2.75,3.0,1.0,750000.0
2680,2.5,3.0,2.0,630000.0
3830,4.5,9.0,2.5,599999.0
2410,2.75,4.0,1.0,758000.0
1720,1.75,4.0,1.0,248500.0
2070,1.75,3.0,1.0,310000.0
1760,2.0,3.0,2.0,460000.0
1680,1.75,3.0,1.0,675000.0
1550,2.0,2.0,1.5,526000.0
4120,3.0,3.0,2.0,560000.0
1830,3.0,4.0,2.0,415000.0
1400,1.0,3.0,1.0,246000.0
1870,1.75,3.0,1.0,314500.0
1040,1.5,2.0,1.5,420000.0
2720,1.75,3.0,1.5,535000.0
1010,1.0,3.0,1.0,350000.0
1580,1.75,3.0,1.0,515000.0
2600,2.75,4.0,2.0,749950.0
1920,2.5,3.0,2.0,230000.0
2350,2.0,3.0,1.5,568000.0
1100,1.0,1.0,1.0,250000.0
2510,2.0,4.0,1.0,581000.0
3240,2.5,3.0,2.0,651000.0
2460,2.5,3.0,1.0,600000.0
1010,1.0,2.0,1.5,500000.0
820,1.0,2.0,1.0,475000.0
2420,2.5,5.0,1.0,352000.0
1770,2.25,3.0,2.0,420000.0
1350,2.0,2.0,1.0,428000.0
1960,1.75,3.0,1.0,599000.0
3305,2.5,4.0,1.5,492000.0
2550,2.25,2.0,1.0,630000.0
4130,3.75,5.0,2.0,900000.0
2310,1.5,4.0,1.0,1110000.0
1650,2.0,4.0,1.0,575000.0
2650,2.5,4.0,1.5,705000.0
1890,2.25,4.0,1.0,940000.0
2190,1.75,3.0,1.0,313000.0
2030,2.5,3.0,2.0,618080.0
2270,3.0,3.0,2.0,640000.0
1610,2.0,3.0,1.0,485000.0
760,1.0,2.0,1.0,300000.0
1640,1.0,2.0,1.0,379500.0
1630,2.25,3.0,2.0,339950.0
1940,2.5,3.0,1.0,500000.0
1410,2.0,3.0,1.0,239900.0
1040,1.0,3.0,1.0,314950.0
820,1.0,2.0,1.0,361280.0
910,1.0,2.0,1.0,100000.0
3700,5.75,7.0,2.0,540000.0
2180,2.5,4.0,1.0,480500.0
1600,2.5,3.0,2.0,280000.0
1500,1.75,3.0,1.0,440000.0
1340,1.0,3.0,1.0,530000.0
1860,2.0,3.0,1.0,560000.0
2540,2.0,3.0,1.5,775000.0
1040,1.0,2.0,1.0,160000.0
1380,1.5,3.0,1.0,209950.0
1640,1.75,3.0,1.0,226500.0
3000,1.75,5.0,1.0,380000.0
2140,2.75,4.0,1.0,409500.0
1760,2.0,3.0,1.0,690000.0
1660,2.25,3.0,1.0,405000.0
1830,2.5,3.0,2.0,375000.0
2210,2.0,4.0,1.0,794154.0
1490,1.0,4.0,1.0,185000.0
1260,1.5,3.0,2.0,245000.0
3900,3.5,4.0,2.0,1040000.0
1150,2.5,2.0,3.0,425000.0
2656,2.75,4.0,2.0,495000.0
2410,2.75,5.0,1.0,365000.0
1606,2.25,3.0,3.0,417250.0
820,1.0,2.0,3.0,339950.0
1540,1.0,2.0,1.0,615000.0
2090,2.75,3.0,2.0,403000.0
3160,2.5,5.0,1.0,980000.0
1730,1.75,4.0,1.0,258000.0
1670,1.0,3.0,1.0,533000.0
2550,2.5,4.0,2.0,537500.0
3040,3.0,5.0,1.0,830000.0
1250,1.0,3.0,1.5,712000.0
2020,2.5,4.0,2.0,262000.0
2660,2.5,4.0,2.0,753888.0
980,1.5,2.0,2.0,134000.0
1960,2.5,3.0,1.0,402000.0
720,1.0,2.0,1.0,205000.0
1360,2.5,2.0,2.0,553650.0
1870,2.0,2.0,1.0,559950.0
2130,1.5,4.0,1.0,260000.0
1810,2.5,4.0,2.0,270000.0
2200,1.75,2.0,1.0,295000.0
1690,2.5,3.0,1.5,719000.0
1940,2.5,3.0,1.0,266000.0
2320,2.5,4.0,2.0,325900.0
2060,1.75,4.0,1.0,647500.0
3410,1.0,4.0,2.0,1039000.0
2250,2.25,4.0,2.0,569000.0
1390,1.75,3.0,1.0,246000.0
1060,1.0,2.0,1.0,515000.0
1490,1.0,3.0,1.0,207000.0
2480,1.75,4.0,1.0,780000.0
2440,2.25,5.0,1.5,489990.0
2240,1.5,3.0,1.5,335000.0
1920,2.5,3.0,2.0,295000.0
1890,1.75,3.0,1.0,385000.0
2250,1.75,4.0,1.0,350000.0
1270,1.0,2.0,1.0,235000.0
960,1.5,2.0,2.0,358000.0
3290,2.5,4.0,2.0,716500.0
2000,1.75,4.0,1.0,228000.0
1020,1.0,2.0,1.0,405000.0
1840,1.75,4.0,1.0,538000.0
1980,1.75,3.0,1.0,530000.0
1230,1.75,2.0,1.5,636000.0
2280,2.5,4.0,2.0,535000.0
2920,2.5,3.0,3.0,868500.0
2280,2.75,4.0,1.5,530000.0
1510,2.0,3.0,1.0,450000.0
950,1.75,3.0,1.0,230000.0
1190,2.5,3.0,2.0,229000.0
1310,1.75,3.0,1.0,437000.0
1750,2.5,3.0,2.0,595000.0
1320,1.75,3.0,1.5,660000.0
2460,2.5,4.0,2.0,347500.0
1240,2.0,3.0,1.0,297950.0
1260,1.5,3.0,1.0,245000.0
2820,2.25,6.0,1.5,543200.0
1540,2.5,3.0,3.0,413450.0
1550,2.0,2.0,1.5,330000.0
1460,1.75,3.0,1.0,424500.0
1390,1.0,3.0,1.0,230000.0
2640,3.25,3.0,2.0,930000.0
1590,1.75,3.0,1.0,349000.0
1910,2.0,4.0,1.5,835000.0
2015,2.75,3.0,2.0,988500.0
1410,1.75,3.0,3.0,500000.0
1110,1.5,2.0,2.0,499000.0
860,1.25,2.0,2.0,321950.0
2310,2.5,3.0,2.0,494000.0
1020,1.5,2.0,3.0,441750.0
980,1.0,2.0,2.0,438000.0
4230,2.25,4.0,2.0,985000.0
1640,2.25,3.0,1.0,352000.0
3810,3.5,4.0,1.0,839900.0
2790,2.75,4.0,2.0,765000.0
1750,1.75,4.0,1.5,460000.0
1430,1.0,4.0,1.5,224500.0
1850,2.5,3.0,2.0,254000.0
960,1.0,2.0,1.0,255000.0
2480,3.0,3.0,1.0,610000.0
3750,3.0,4.0,2.0,920000.0
2600,2.5,4.0,2.0,402500.0
1390,1.75,3.0,1.0,280950.0
2260,2.5,4.0,2.0,604000.0
2470,2.25,4.0,2.0,565000.0
810,1.0,2.0,1.0,255000.0
1650,2.0,4.0,1.0,445000.0
720,1.0,2.0,1.0,195000.0
1390,1.5,3.0,1.0,275000.0
1445,2.25,3.0,2.0,387000.0
1840,1.0,2.0,1.5,490000.0
2100,2.5,3.0,2.0,505000.0
1060,1.5,3.0,1.0,303500.0
1500,1.5,3.0,1.0,270000.0
1970,2.75,4.0,1.0,323000.0
1410,3.25,3.0,3.0,382000.0
2190,2.0,4.0,1.0,280000.0
1920,2.0,3.0,1.0,260000.0
1160,1.0,3.0,1.0,201500.0
2000,1.75,4.0,1.5,536500.0
2163,3.0,4.0,2.0,248000.0
3480,3.0,5.0,1.0,532000.0
2840,2.5,4.0,2.0,580000.0
1150,1.0,2.0,1.0,463000.0
3100,2.75,4.0,2.0,742500.0
1420,2.5,3.0,1.0,260000.0
2430,2.25,4.0,1.0,590000.0
1930,2.25,4.0,1.0,312000.0
1660,2.25,3.0,1.0,566000.0
1400,2.0,3.0,1.0,511555.0
2660,2.5,4.0,2.0,583000.0
2000,2.5,4.0,1.0,290000.0
2130,2.25,4.0,1.0,311100.0
1352,2.25,3.0,3.0,325000.0
1750,1.75,3.0,1.0,491300.0
2320,1.75,5.0,1.0,315000.0
1420,1.0,2.0,1.0,360000.0
1940,2.5,4.0,2.0,330000.0
1410,2.0,3.0,1.0,481450.0
1360,1.0,3.0,1.0,234950.0
1220,1.75,3.0,1.0,251000.0
2830,2.5,4.0,2.0,782000.0
3780,2.75,4.0,2.0,833000.0
2330,2.5,4.0,2.0,542500.0
3560,2.5,3.0,2.0,851000.0
1470,1.5,4.0,1.0,325000.0
3060,2.25,4.0,2.0,415000.0
1030,1.0,3.0,1.0,252500.0
1930,2.5,4.0,1.0,465000.0
1780,1.75,3.0,1.0,336900.0
2000,2.5,3.0,2.0,225000.0
1690,2.0,3.0,1.0,270000.0
1300,1.75,3.0,1.5,536000.0
2400,3.25,4.0,2.0,585000.0
1150,2.0,2.0,1.0,445000.0
2310,2.25,4.0,2.0,320000.0
2730,3.5,4.0,2.0,769900.0
2840,2.5,4.0,2.0,557000.0
1020,1.5,2.0,2.0,212000.0
1340,2.0,3.0,3.0,376000.0
3540,3.25,4.0,2.0,800000.0
998,2.25,3.0,2.0,324000.0
3060,2.75,5.0,1.0,549900.0
2130,2.5,3.0,2.0,320000.0
2520,2.0,4.0,1.0,875000.0
1940,1.0,4.0,1.0,265000.0
1350,2.5,3.0,3.0,394950.0
2160,2.5,4.0,2.5,842500.0
1370,2.5,3.0,2.0,368000.0
2830,2.5,4.0,2.0,885000.0
2010,2.5,3.0,2.0,453246.0
3300,2.75,4.0,2.0,927000.0
1230,2.5,2.0,2.0,490000.0
1720,1.5,3.0,1.5,341000.0
810,1.0,1.0,1.0,235000.0
2560,2.0,3.0,1.0,560000.0
4700,3.25,4.0,2.0,900000.0
1220,1.0,2.0,1.0,255000.0
2170,3.25,3.0,1.5,876650.0
2540,2.25,4.0,1.0,540000.0
910,1.0,2.0,1.5,350000.0
2980,2.5,4.0,2.0,750000.0
2120,1.75,4.0,1.0,582000.0
2480,3.0,5.0,1.0,372500.0
2200,2.25,3.0,2.0,410000.0
1730,2.0,4.0,1.0,360000.0
2920,2.5,3.0,1.0,1015000.0
990,1.0,3.0,1.0,225000.0
3040,2.5,4.0,2.0,647000.0
4530,3.0,5.0,1.5,950000.0
1370,1.5,3.0,1.0,185000.0
1940,2.5,3.0,2.0,335000.0
1040,2.5,3.0,2.0,210000.0
1800,2.25,4.0,1.0,522000.0
1720,1.75,3.0,1.0,770000.0
980,1.0,3.0,1.0,499950.0
3110,2.5,4.0,2.0,751000.0
2100,3.0,5.0,1.0,330000.0
2020,1.5,3.0,1.0,465000.0
2350,1.75,4.0,1.0,850000.0
3290,2.25,4.0,1.5,947500.0
2180,2.25,5.0,2.0,302000.0
1290,2.25,2.0,3.0,500000.0
1460,1.0,3.0,1.0,201000.0
1290,1.0,2.0,2.0,265000.0
2350,2.5,4.0,1.5,870300.0
1080,1.0,3.0,1.0,339000.0
2670,2.5,4.0,2.0,690000.0
3680,3.25,4.0,2.0,788000.0
1440,1.75,3.0,1.0,315275.0
1940,1.75,4.0,1.0,505000.0
1280,1.0,3.0,1.0,368000.0
2980,2.75,3.0,1.5,947500.0
970,1.0,3.0,1.0,156000.0
2110,3.0,4.0,1.5,610000.0
1480,2.5,2.0,3.0,420000.0
700,1.0,2.0,1.0,192000.0
2700,2.0,3.0,1.0,910000.0
2600,2.75,4.0,1.5,840000.0
1360,1.75,2.0,1.0,300000.0
2780,2.5,4.0,1.0,505000.0
1250,1.0,3.0,1.0,110000.0
2620,2.5,3.0,2.0,746000.0
1350,1.5,3.0,1.0,211000.0
2400,3.0,4.0,1.0,675000.0
2760,2.5,4.0,1.5,734200.0
2040,1.75,2.0,1.5,615000.0
1770,2.0,4.0,2.0,630000.0
830,1.5,2.0,2.0,301500.0
980,2.5,2.0,2.0,369000.0
1570,2.5,3.0,3.0,635000.0
3270,3.25,4.0,2.0,1033888.0
2160,2.5,4.0,2.0,383000.0
3280,3.75,4.0,2.0,1050000.0
3360,2.5,4.0,2.0,455000.0
3150,2.75,5.0,2.0,819900.0
1810,3.5,3.0,2.0,625000.0
2740,2.5,4.0,2.0,651000.0
3830,4.75,5.0,1.0,480000.0
3190,3.25,3.0,2.0,757000.0
2350,2.25,3.0,1.0,460000.0
2510,2.25,4.0,1.0,267345.0
1680,2.0,2.0,1.0,530000.0
1770,2.0,3.0,1.0,449500.0
1090,1.0,3.0,1.0,289000.0
3001,2.5,5.0,2.0,373000.0
2450,3.0,5.0,2.0,525000.0
3610,3.25,3.0,2.0,777000.0
2250,2.0,4.0,1.0,550000.0
1240,1.5,3.0,1.0,523000.0
2260,2.0,4.0,1.0,628000.0
2090,1.75,4.0,1.0,581000.0
2020,1.75,5.0,1.0,245000.0
1960,1.75,3.0,1.0,415000.0
1250,1.5,3.0,1.0,225000.0
1490,2.25,3.0,1.0,287000.0
2890,3.0,6.0,2.5,799200.0
1900,1.0,3.0,1.5,239950.0
1680,1.75,3.0,1.0,591000.0
2030,2.5,3.0,2.0,700000.0
3740,2.5,4.0,1.0,475000.0
1580,1.75,3.0,1.0,575000.0
1780,2.25,3.0,1.5,771000.0
910,1.0,2.0,1.0,155000.0
3440,4.0,7.0,2.0,550000.0
1740,2.5,3.0,2.0,645000.0
3400,2.5,5.0,1.0,464000.0
4400,3.25,4.0,2.0,1050000.0
2010,2.5,3.0,2.0,350000.0
2710,2.25,4.0,2.0,591000.0
1310,1.5,3.0,1.0,717000.0
1950,1.5,4.0,1.5,225000.0
1040,1.0,3.0,1.0,225000.0
1090,1.75,3.0,1.0,345000.0
650,0.75,2.0,1.0,230000.0
1480,2.0,3.0,1.0,385000.0
790,1.0,2.0,1.0,90000.0
3560,2.5,4.0,1.0,860000.0
3000,2.5,4.0,2.0,675000.0
3490,2.5,4.0,2.0,975000.0
2340,1.75,3.0,1.0,780000.0
1650,1.75,3.0,1.0,370000.0
1940,2.0,3.0,1.5,665000.0
3410,3.0,5.0,1.0,675000.0
1710,1.0,3.0,1.5,620000.0
2740,1.5,4.0,2.0,1105000.0
1250,2.75,3.0,2.0,450000.0
2450,2.25,3.0,1.0,450000.0
1690,1.75,3.0,1.0,530000.0
1950,1.75,4.0,1.0,635000.0
2290,2.0,5.0,1.0,580000.0
1090,1.0,3.0,1.0,285000.0
1190,1.0,3.0,1.0,375000.0
1440,1.0,3.0,2.0,560000.0
2180,1.75,4.0,1.0,405000.0
1410,1.0,4.0,1.0,413000.0
1950,2.5,3.0,2.0,287600.0
1660,1.0,3.0,1.0,225000.0
1390,1.0,3.0,1.0,319000.0
1350,2.0,3.0,1.0,322500.0
1530,2.0,3.0,1.0,570000.0
1270,1.5,3.0,1.0,465000.0
2140,2.25,4.0,2.0,435000.0
2040,2.5,4.0,2.0,502000.0
2876,3.5,3.0,2.0,525000.0
1580,2.5,3.0,2.0,525000.0
3400,3.5,4.0,2.0,660000.0
3520,2.5,4.0,2.5,870000.0
2210,2.5,4.0,2.0,650000.0
2790,2.5,4.0,2.0,505000.0
1450,2.5,3.0,1.0,330000.0
1620,1.75,4.0,1.0,385000.0
1220,1.5,3.0,3.0,306000.0
2000,1.75,3.0,1.0,546000.0
2190,2.5,4.0,2.5,925000.0
1900,1.75,4.0,1.0,542000.0
1700,1.0,3.0,1.5,800000.0
2540,2.5,5.0,2.0,620000.0
1170,1.0,2.0,1.0,175000.0
5774,5.0,5.0,1.0,740000.0
2120,2.25,3.0,2.0,345000.0
2170,1.75,3.0,1.0,510000.0
2450,2.75,4.0,1.0,530000.0
700,1.0,2.0,1.0,155000.0
1780,2.5,3.0,1.0,266000.0
1850,2.0,3.0,1.0,257200.0
1570,2.0,3.0,1.0,265000.0
1290,1.0,3.0,1.0,372220.0
1700,2.0,5.0,1.0,337500.0
1159,1.5,2.0,1.0,582500.0
1850,2.75,3.0,1.5,489200.0
840,1.0,2.0,1.0,405100.0
1690,2.5,3.0,2.0,372977.0
1050,1.0,3.0,1.0,310000.0
1400,1.75,3.0,1.5,538000.0
1840,2.5,3.0,2.0,317000.0
2360,1.5,3.0,2.0,702500.0
2240,2.5,4.0,2.0,565000.0
2700,2.5,4.0,2.0,723000.0
3030,2.5,3.0,1.5,766950.0
1830,1.75,3.0,1.5,682000.0
2220,2.5,3.0,2.0,325000.0
2090,2.5,3.0,1.0,543000.0
1600,1.75,3.0,1.5,525000.0
2010,1.75,4.0,1.0,364000.0
830,1.0,2.0,1.0,394475.0
2010,2.5,4.0,2.0,316000.0
1050,1.0,3.0,1.5,339950.0
2150,2.5,4.0,1.0,486000.0
860,1.0,3.0,1.0,160000.0
3100,2.5,3.0,1.0,930000.0
1100,1.0,3.0,1.0,139000.0
1830,1.5,3.0,1.0,562000.0
1250,1.75,2.0,1.0,299000.0
1820,2.5,3.0,2.0,511000.0
2090,2.0,3.0,1.5,499000.0
2100,3.5,3.0,2.0,356000.0
2310,2.5,4.0,2.0,470000.0
2060,2.25,4.0,1.0,715000.0
4470,2.25,4.0,2.0,1120000.0
1660,1.0,3.0,1.0,458000.0
3810,4.5,5.0,2.0,966000.0
2110,1.75,3.0,2.0,305495.0
2370,2.0,2.0,1.5,543000.0
1970,2.25,3.0,2.0,340000.0
2470,2.5,4.0,2.0,633100.0
1480,1.0,3.0,1.0,310000.0
2257,3.0,5.0,1.0,349950.0
700,1.0,2.0,1.0,267800.0
1630,2.0,4.0,1.0,234000.0
3430,2.5,4.0,2.0,740000.0
2220,1.75,5.0,1.5,607500.0
1340,1.75,3.0,1.0,223000.0
980,1.0,2.0,1.0,400000.0
2580,2.5,3.0,2.0,802000.0
2230,2.5,4.0,2.0,253000.0
2290,2.0,4.0,1.0,1058000.0
1260,1.0,3.0,1.0,300000.0
1680,2.75,4.0,1.0,625000.0
3200,3.25,4.0,2.0,707000.0
3320,2.5,4.0,2.0,950000.0
3040,2.5,4.0,2.0,420000.0
2270,2.75,4.0,1.0,498000.0
2910,2.5,3.0,2.0,450000.0
2510,2.25,5.0,2.0,955000.0
1240,1.0,2.0,1.0,215000.0
2580,2.75,3.0,2.0,437000.0
2470,2.75,3.0,2.0,773000.0
1690,2.5,3.0,2.0,256883.0
2240,2.5,4.0,1.0,592500.0
1650,2.0,3.0,1.0,252350.0
2710,2.5,4.0,2.0,370000.0
1260,1.5,3.0,1.0,465750.0
1150,1.0,3.0,1.0,185000.0
2550,2.75,4.0,1.0,582800.0
1490,1.75,3.0,1.0,245000.0
2020,1.75,4.0,1.0,302000.0
1320,1.0,2.0,1.0,451555.0
1230,1.0,3.0,1.0,250000.0
2070,2.5,4.0,2.0,255000.0
2930,1.75,4.0,1.0,840000.0
1090,1.0,3.0,1.0,190000.0
1400,1.0,3.0,1.0,349950.0
1550,2.0,4.0,1.5,613000.0
1220,1.0,3.0,1.0,300000.0
1870,2.5,3.0,1.0,455000.0
2150,2.25,3.0,2.0,335000.0
980,1.0,3.0,1.5,197500.0
1490,1.5,3.0,1.0,412500.0
1120,1.5,3.0,1.0,395300.0
1180,2.25,3.0,2.0,342400.0
3240,2.5,4.0,2.0,749400.0
2150,2.5,4.0,2.0,316500.0
2240,2.5,3.0,2.0,390000.0
1400,2.0,3.0,1.0,225000.0
1980,2.25,3.0,1.0,550000.0
1330,1.0,3.0,1.5,280000.0
1490,1.0,2.0,1.0,575000.0
3920,4.25,5.0,2.0,1000000.0
2000,1.75,5.0,2.0,585000.0
